0,-1,1109.93,174.78,1200.78,315.24,0.85,0
0,-1,299.24,167.14,453.18,285.91,0.80,2
1,-1,1144.34,168.68,1219.86,311.32,0.80,0
1,-1,299.48,165.53,448.64,281.76,0.87,2
2,-1,1174.88,157.97,1234.52,310.63,0.80,0
2,-1,298.99,158.18,446.32,272.83,0.90,2
3,-1,790.31,154.27,898.01,333.18,0.79,0
3,-1,1197.20,157.52,1241.78,310.33,0.78,0
3,-1,296.70,152.66,442.99,265.47,0.86,2
4,-1,794.20,156.62,901.72,336.84,0.84,0
4,-1,295.82,152.50,439.16,262.68,0.88,2
5,-1,293.87,154.69,437.92,262.60,0.84,2
6,-1,294.05,155.62,435.38,264.65,0.88,2
7,-1,291.26,157.12,432.35,264.90,0.89,2
8,-1,288.51,157.24,431.09,265.47,0.81,2
9,-1,287.06,155.41,424.87,264.29,0.70,2
10,-1,286.71,157.35,422.73,266.57,0.82,2
11,-1,285.06,162.76,425.44,266.61,0.79,2
12,-1,283.09,155.19,419.46,263.12,0.64,2
13,-1,282.13,153.90,417.99,260.45,0.63,2
14,-1,794.57,166.86,890.97,332.99,0.80,0
15,-1,791.02,168.50,882.36,339.50,0.75,0
16,-1,786.54,167.49,876.63,337.21,0.78,0
16,-1,281.92,152.19,412.75,256.34,0.64,2
17,-1,784.44,173.13,866.88,327.81,0.77,0
17,-1,202.30,185.56,249.90,213.78,0.61,2
18,-1,780.27,179.44,859.02,333.81,0.74,0
18,-1,282.62,163.53,410.72,264.50,0.71,2
19,-1,767.67,183.52,853.54,347.57,0.79,0
19,-1,284.38,171.92,410.26,269.01,0.65,2
20,-1,286.39,181.64,409.05,274.17,0.71,2
21,-1,753.57,186.94,838.29,351.16,0.82,0
21,-1,289.51,180.24,408.46,272.95,0.69,2
22,-1,294.64,176.65,409.59,266.84,0.64,2
23,-1,300.11,171.67,409.50,263.35,0.61,2
24,-1,724.09,179.84,816.11,340.71,0.73,0
24,-1,302.62,172.84,409.60,263.23,0.67,2
25,-1,724.27,179.48,809.00,330.29,0.80,0
25,-1,307.77,169.93,410.50,261.21,0.76,2
26,-1,717.08,176.76,796.34,321.04,0.77,0
26,-1,315.06,164.97,413.40,252.86,0.68,2
27,-1,701.16,170.20,778.08,321.75,0.79,0
28,-1,694.35,170.90,768.44,315.91,0.79,0
29,-1,681.10,166.65,760.99,318.47,0.79,0
30,-1,669.20,169.54,755.67,311.59,0.79,0
31,-1,659.29,172.11,731.57,313.44,0.80,0
33,-1,360.58,166.76,447.49,250.33,0.68,2
